YCL019W,GO:0003723
CPS1,GO:0004181
CAN1,GO:0015174
CDC9,GO:0003910
CDC9,GO:0003910
RRP3,GO:0003724
OSH3,GO:0120015
DBP8,GO:0003724
OSH7,GO:0120015
RRM3,GO:0003678
MAL13,GO:0008270
MAL13,GO:0008270
MAL13,GO:0008270
MAL13,GO:0008270
TUB4,GO:0005525
TUB4,GO:0005525
DNA2,GO:0003678
PUS1,GO:0003723
PUS1,GO:0003723
PUS1,GO:0003723
PUS1,GO:0003723
PUS1,GO:0003723
CHS3,GO:0016758
POR1,GO:0008308
HTA1,GO:0003677
FPK1,GO:0004672
FPK1,GO:0004672
BIO5,GO:0022857
PUS1,GO:0009982
PUS1,GO:0009982
PUS1,GO:0009982
PUS1,GO:0009982
PUS1,GO:0009982
PUS1,GO:0009982
HTA2,GO:0003677
PMA1,GO:0008553
DHH1,GO:0003724
SIA1,GO:0016787
SPE4,GO:0003824
PHR1,GO:0003729
PHR1,GO:0003904
ARG81,GO:0003712
ARG3,GO:0004585
FUR4,GO:0015505
RPP0,GO:0003735
YPL060C-A,GO:0003677
YPL060C-A,GO:0003887
CKI1,GO:0016773
SPB1,GO:0070039
YPL060C-A,GO:0000166
YPL060C-A,GO:0003723
YPL060C-A,GO:0003887
YPL060C-A,GO:0003964
YPL060C-A,GO:0003964
YPL060C-A,GO:0004190
RPP0,GO:0070180
RPP1A,GO:0003735
YPL060C-A,GO:0005524
MGS1,GO:0017116
YPL060C-A,GO:0016787
YPL060C-A,GO:0008233
YPL060C-A,GO:0016740
YPL060C-A,GO:0004518
YPL060C-A,GO:0016779
YPL060C-A,GO:0046872
PRO3,GO:0004735
RPP1A,GO:0030295
RPP2A,GO:0003735
RPP2A,GO:0030295
HEM2,GO:0004655
HEM2,GO:0004655
HEM2,GO:0004655
HEM2,GO:0008270
CHO2,GO:0004608
CHO2,GO:0004608
CHO2,GO:0004608
CHO2,GO:0004608
DEG1,GO:0009982
DEG1,GO:0009982
DEG1,GO:0009982
DEG1,GO:0009982
DEG1,GO:0009982
RPL7B,GO:0003735
YPL060C-A,GO:0004519
YPL060C-A,GO:0004523
OPI3,GO:0000773
OPI3,GO:0000773
OPI3,GO:0000773
OPI3,GO:0080101
OPI3,GO:0080101
MGS1,GO:0017116
ATP4,GO:0046933
ATP4,GO:0046961
AAH1,GO:0000034
OPI3,GO:0080101
SUP35,GO:0003747
MET6,GO:0003871
RPL7A,GO:0003735
RIA1,GO:0005525
RIA1,GO:0005525
RIA1,GO:0005525
YLR410W-A,GO:0003723
YMR084W,GO:0008483
YMR084W,GO:0004360
YMR084W,GO:0016740
YHL009W-B,GO:0003676
AAD14,GO:0047681
STE2,GO:0004930
RPL9A,GO:0003735
RPL6B,GO:0003723
RPL6B,GO:0003735
RPL17A,GO:0003735
RPL26A,GO:0003723
RPL26A,GO:0003735
RPL33A,GO:0003735
SAL1,GO:0046872
SPB1,GO:0008650
SPB4,GO:0005524
CET1,GO:0004651
AAD14,GO:0047681
RPS5,GO:0003723
SLM2,GO:0005546
ALD3,GO:0016620
SMX3,GO:0000398
RPS5,GO:0003735
RPS5,GO:0003735
CET1,GO:0016787
FOB1,GO:0003677
RPL36A,GO:0003723
RPL36A,GO:0003735
RPL29,GO:0003735
RPL15A,GO:0003723
RPL15A,GO:0003735
RPL22A,GO:0003735
RPS3,GO:0003735
RPS3,GO:0003906
FOB1,GO:0046872
MSH1,GO:0005524
MSH1,GO:0005524
MSH1,GO:0005524
MSH1,GO:0005524
MSH1,GO:0005524
MSH1,GO:0005524
MSH1,GO:0005524
TOR2,GO:0004674
RTG1,GO:0046983
RTG1,GO:0046983
YBR012W-A,GO:0003723
MSH1,GO:0030983
MSH1,GO:0030983
MSH1,GO:0030983
MSH1,GO:0030983
MSH1,GO:0030983
MSH1,GO:0030983
MSH1,GO:0030983
MSH1,GO:0030983
RPS9B,GO:0003735
RPS13,GO:0003735
RPS13,GO:0003735
RPS13,GO:0003735
RPS13,GO:0070181
RPS31,GO:0003735
RPS31,GO:0003735
MSH2,GO:0003677
RPS9A,GO:0003723
RPS9A,GO:0019843
RPS31,GO:0031386
AAD6,GO:0047681
TPK3,GO:0004691
TPK3,GO:0004691
TPK3,GO:0004691
TPK3,GO:0004691
TPK3,GO:0004691
TPK3,GO:0004691
LAM5,GO:0120015
CDC37,GO:0051082
ROK1,GO:0003724
NOT3,GO:0005515
PRT1,GO:0003743
PRT1,GO:0003743
RGR1,GO:0003712
SSL2,GO:0005524
RAD6,GO:0004842
RAD6,GO:0004842
RPA49,GO:0003677
SCP160,GO:0001965
SCP160,GO:0003723
SCP160,GO:0003729
SCP160,GO:0003729
ACC1,GO:0003989
PUF2,GO:0003676
RAD6,GO:0003697
MET17,GO:0003961
MET17,GO:0003961
MET17,GO:0004124
CTT1,GO:0004096
ILV5,GO:0003690
YAR009C,GO:0003723
YTA7,GO:0016887
YAR009C,GO:0003824
YAR009C,GO:0003964
YAR009C,GO:0003887
MTR4,GO:0034458
ILV5,GO:0004455
ILV5,GO:0004455
PDC1,GO:0004737
PDC1,GO:0004737
PDC1,GO:0047433
HEM4,GO:0004852
HEM4,GO:0004852
YAR009C,GO:0003887
MGT1,GO:0003824
YAR009C,GO:0003677
RAD27,GO:0003677
AAT1,GO:0003824
AAT1,GO:0003824
AAT1,GO:0003824
YAR009C,GO:0016787
PIM1,GO:0005524
PIM1,GO:0005524
PIM1,GO:0005524
YAR009C,GO:0046872
MTR4,GO:0034458
MTR4,GO:0034458
ROX3,GO:0003712
SKO1,GO:0003700
SKO1,GO:0003700
CYC3,GO:0004408
CYC3,GO:0004408
CYC3,GO:0004408
PIS1,GO:0003881
PIS1,GO:0003881
LEU4,GO:0003852
LEU4,GO:0003852
LEU4,GO:0005515
YAR009C,GO:0003964
YAR009C,GO:0004518
RAD27,GO:0003824
YAR009C,GO:0004519
YAR009C,GO:0004523
YAR009C,GO:0016740
YAR009C,GO:0016779
AAD10,GO:0047681
KIN28,GO:0008353
KIN28,GO:0008353
KIN28,GO:0008353
CDC7,GO:0004674
CDC7,GO:0004674
CDC7,GO:0004674
MMM1,GO:0008289
ULP1,GO:0008234
TPK1,GO:0004691
TPK1,GO:0004691
TPK1,GO:0004691
TPK1,GO:0004691
TPK1,GO:0004691
TPK1,GO:0004691
TPK2,GO:0004691
MGT1,GO:0003908
MGT1,GO:0003908
RRI1,GO:0004222
TPK2,GO:0004691
TPK2,GO:0004691
TPK2,GO:0004691
TPK2,GO:0004691
RPS14A,GO:0003729
RPS14A,GO:0003735
MCM6,GO:0003678
HIS3,GO:0004424
HIS3,GO:0004424
YHR214C-B,GO:0003723
YHR214C-B,GO:0003824
YHR214C-B,GO:0003887
YHR214C-B,GO:0000166
YHR214C-B,GO:0004519
YHR214C-B,GO:0004523
DED1,GO:0033592
SIR2,GO:0017136
SIR2,GO:0032041
SIR2,GO:0046969
SIR2,GO:0046970
YHR214C-B,GO:0016787
YHR214C-B,GO:0003887
YHR214C-B,GO:0003964
YHR214C-B,GO:0004518
MCM6,GO:0009378
YHR214C-B,GO:0004190
YHR214C-B,GO:0008233
YHR214C-B,GO:0005524
YHR214C-B,GO:0016740
YHR214C-B,GO:0016779
PDC6,GO:0030976
PDC6,GO:0030976
PDC6,GO:0030976
PDC6,GO:0030976
YHR214C-B,GO:0003677
SIR2,GO:0031491
YHR214C-B,GO:0003964
SKM1,GO:0004672
SKM1,GO:0004672
YHR214C-B,GO:0046872
DAL80,GO:0043565
YMR099C,GO:0030246
YMR099C,GO:0030246
SIR3,GO:0003682
SIR3,GO:0003690
SIR3,GO:0003697
SIR3,GO:0031491
MCM6,GO:0017116
PRP43,GO:0003724
PRP43,GO:0003724
GPH1,GO:0008184
GPH1,GO:0008184
DAL80,GO:0008270
SKM1,GO:0004674
MCM6,GO:0043138
INO80,GO:0043138
DCD1,GO:0004132
HIP1,GO:0005291
MRH4,GO:0003724
PDE2,GO:0004115
MRH4,GO:0003724
RVS167,GO:0042803
RAD1,GO:0003697
YDR034C-D,GO:0003676
HAP2,GO:0000978
RAD1,GO:0000014
DPB3,GO:0046982
RAD52,GO:0000150
RAD52,GO:1990814
YRF1-4,GO:0000166
RHO1,GO:0003924
RHO1,GO:0003924
UTR4,GO:0043874
RAD7,GO:0003684
DBP8,GO:0005524
RAD7,GO:0004842
RAD7,GO:0008094
RHO2,GO:0003924
RHO2,GO:0003924
DBP6,GO:0003724
SNF1,GO:0004674
SNF1,GO:0004674
SNF1,GO:0004674
SNF1,GO:0004674
SNF1,GO:0004674
SNF1,GO:0004679
SNF1,GO:0004679
SNF1,GO:0004679
YRF1-4,GO:0005524
YRF1-4,GO:0003678
YRF1-4,GO:0004386
STE3,GO:0004933
YRF1-4,GO:0016787
STE7,GO:0004708
STE7,GO:0004708
CDC21,GO:0004799
CDC21,GO:0004799
YAT1,GO:0004095
COB,GO:0008121
TOP2,GO:0003918
TOP2,GO:0003918
CMD1,GO:0005509
CMD1,GO:0005509
CMD1,GO:0005515
CMD1,GO:0005515
CMD1,GO:0005515
CMD1,GO:0048306
CMD1,GO:0048306
CMD1,GO:0048306
CMD1,GO:0051019
DIE2,GO:0106073
POP2,GO:0003676
RBG1,GO:0005525
RBG1,GO:0005525
RBG1,GO:0005525
RBG1,GO:0005525
RBG1,GO:0005525
RAD10,GO:0003697
HSP82,GO:0016887
RAD3,GO:0003684
SEN1,GO:0032574
SPT2,GO:0000217
SPT2,GO:0003677
SPT3,GO:0003712
HSP82,GO:0016887
CYT1,GO:0008121
RAD10,GO:0000014
SEN1,GO:0033678
SPT3,GO:0003712
FAS1,GO:0004313
FAS1,GO:0004313
FAS1,GO:0004314
FAS1,GO:0004314
FAS1,GO:0004314
FAS1,GO:0004319
FAS1,GO:0004319
FAS1,GO:0016409
FAS1,GO:0016409
FAS1,GO:0019171
FAS1,GO:0019171
ADK1,GO:0004017
NSR1,GO:0003676
GCN4,GO:0061629
FAS1,GO:0004312
FAS1,GO:0004312
ADK1,GO:0004017
ADK1,GO:0004017
ADK1,GO:0004017
PEP12,GO:0005484
HIS5,GO:0004400
TOM70,GO:0030943
MST1,GO:0004829
MST1,GO:0004829
GCN4,GO:0061629
GAL4,GO:0061629
GAL4,GO:0061629
GAL80,GO:0061629
GAL80,GO:0061629
MBF1,GO:0003677
SEN1,GO:0043139
ADE57,GO:0004637
ADE57,GO:0004641
ADE3,GO:0004329
ADE3,GO:0004477
ADE3,GO:0004488
SSL2,GO:0003678
ADR1,GO:0061629
ADR1,GO:0061629
ADH3,GO:0004022
URH1,GO:0016799
URH1,GO:0016799
URH1,GO:0016799
ADR1,GO:0000978
ADR1,GO:0000978
ADR1,GO:0000978
ADR1,GO:0000978
ADR1,GO:0000978
ADR1,GO:0000978
ADR1,GO:0001093
ADR1,GO:0001094
HSC82,GO:0016887
OSH6,GO:0120015
HEM14,GO:0004729
ARG80,GO:0000987
ARG80,GO:0000987
ARG82,GO:0000823
ARG82,GO:0000823
ARG82,GO:0000824
ARG82,GO:0000824
ARG82,GO:0000825
ARG82,GO:0000827
ARG82,GO:0008440
ARG82,GO:0030674
ARG82,GO:0030674
ARG82,GO:0030674
ARG82,GO:0035004
YPL088W,GO:0047681
SWI1,GO:0061629
SWI1,GO:0061629
ATP1,GO:0016887
EST3,GO:0033677
CBP6,GO:0043022
CBP6,GO:0043022
SWI1,GO:0061629
SWI1,GO:0061629
HAS1,GO:0003724
CAB1,GO:0004594
YDR261C-C,GO:0003723
TIM9,GO:0046872
VBA3,GO:0022857
VBA3,GO:0022857
COX9,GO:0004129
URA2,GO:0004070
URA2,GO:0004070
URA2,GO:0004088
TSR4,GO:0051082
TSR4,GO:0051082
TSR4,GO:0051082
CDC28,GO:0004672
NAP1,GO:0051082
RVB1,GO:0043139
CDC33,GO:0003743
CDC33,GO:0032266
GCR1,GO:0000978
GCR1,GO:0000978
GCR1,GO:0000978
GCR1,GO:0000978
GCR1,GO:0000978
GCR1,GO:0000978
MCM1,GO:0061629
MCM1,GO:0061629
MCM1,GO:0061629
MCM1,GO:0061629
MCM1,GO:0061629
RVB1,GO:0043138
GCR1,GO:0000978
GCR1,GO:0000978
HRQ1,GO:0043138
RPS2,GO:0005515
GDH1,GO:0004354
GDH1,GO:0004354
GDH1,GO:0004354
GDH1,GO:0004354
GDH1,GO:0004354
HTS1,GO:0004812
LEU1,GO:0003861
RAP1,GO:0061629
CYC1,GO:0046872
CYC7,GO:0046872
SPT15,GO:0061629
DBP9,GO:0003678
SPT15,GO:0061629
MRS1,GO:0003723
PEP4,GO:0008233
PHO2,GO:0000978
HAP4,GO:0061629
DBP9,GO:0003724
PHO4,GO:0003700
CYB2,GO:0016491
ADH1,GO:0004022
ADH2,GO:0016491
HAP4,GO:0061629
YRA2,GO:0003676
COB,GO:0008121
CYB2,GO:0004460
CYB2,GO:0046872
ADH1,GO:0016491
