YMR001C,GO:0006468
YMR084W,GO:0006541
YPL060C-A,GO:0006310
YPL060C-A,GO:0015074
YPL060C-A,GO:0032196
YJR073C,GO:0006656
YDR172W,GO:0000288
YDR172W,GO:0006415
YPL078C,GO:0015986
YER091C,GO:0009086
YGL076C,GO:0000470
YGL076C,GO:0002181
YGL076C,GO:0042273
YKL190W,GO:0050790
YMR084W,GO:0006048
YCL032W,GO:0050790
YPR175W,GO:0050790
YNL124W,GO:0000493
YFL026W,GO:0007165
YFL026W,GO:0019236
YGL147C,GO:0002181
YLR448W,GO:0000027
YLR448W,GO:0002181
YKL180W,GO:0000448
YKL180W,GO:0002181
YLR344W,GO:0002181
YPL143W,GO:0002181
YFL037W,GO:0000022
YFL037W,GO:0090307
YFL026W,GO:0007186
YBL008W,GO:0006325
YPL228W,GO:0006397
YNL009W,GO:0006102
YLR152C,GO:0055085
YPR182W,GO:0000398
YCL054W,GO:0006364
YML061C,GO:0098781
YHL009W-B,GO:0090501
YMR194W,GO:0002181
YFR032C-A,GO:0002181
YLR029C,GO:0002181
YLR061W,GO:0002181
YNL178W,GO:0000056
YNL178W,GO:0006407
YHL009W-B,GO:0090502
YCL054W,GO:0001510
YDR110W,GO:0006260
YHL009W-B,GO:0015074
YHL009W-B,GO:0071897
YHL009W-B,GO:0090305
YCL054W,GO:0031167
YIL133C,GO:0006412
YOR017W,GO:0000959
YJR060W,GO:0098781
YCL054W,GO:0032259
YBR189W,GO:0000462
YBR189W,GO:0045903
YDR064W,GO:0000462
YDR064W,GO:0002181
YHR120W,GO:0006298
YJR123W,GO:0006412
YPL155C,GO:0007018
YHR005C-A,GO:0045039
YDL022W,GO:0006072
YPL081W,GO:0006364
YBL013W,GO:0071951
YLR167W,GO:0000028
YOL147C,GO:0016559
YLR167W,GO:0002109
YLR167W,GO:0002181
YLR167W,GO:0042254
YKL166C,GO:0007005
YKL166C,GO:0007265
YKL166C,GO:0010737
YDL165W,GO:0000288
YDL165W,GO:0000289
YDL165W,GO:0000290
YDL165W,GO:0000749
YDL165W,GO:0006368
YPL081W,GO:0042254
YOR132W,GO:0042147
YDL165W,GO:0016567
YDL165W,GO:0031087
YDL165W,GO:0032968
YDL165W,GO:0051726
YDR168W,GO:0000161
YDR168W,GO:0030474
YDR168W,GO:0050821
YDR168W,GO:0051726
YIL038C,GO:0000289
YIL038C,GO:0000290
YIL038C,GO:0016567
YIL038C,GO:0032968
YOR361C,GO:0002183
YOR361C,GO:0006413
YGL145W,GO:0006914
YKL013C,GO:0034314
YOR125C,GO:0006744
YHR031C,GO:0098781
YGL058W,GO:0000209
YGL058W,GO:0000722
YGL058W,GO:0000724
YGL058W,GO:0006353
YGL058W,GO:0006366
YGL058W,GO:0006513
YGL058W,GO:0010390
YGL058W,GO:0030433
YGL058W,GO:0031571
YGL058W,GO:0042138
YGL058W,GO:0042275
YGL058W,GO:0042276
YGL058W,GO:0070534
YGL058W,GO:0070987
YGL058W,GO:0071596
YPL259C,GO:0016192
YGL058W,GO:0071629
YGL058W,GO:0090089
YJL080C,GO:0000750
YJL080C,GO:0007059
YJL080C,GO:0030466
YJL080C,GO:0043577
YPL259C,GO:0006886
YJL080C,GO:0045141
YLR303W,GO:0006555
YLR303W,GO:0019344
YGR088W,GO:0000302
YDR477W,GO:0034976
YLR355C,GO:0000002
YLR355C,GO:0009082
YLR044C,GO:0000949
YLR044C,GO:0006090
YLR044C,GO:0006559
YLR044C,GO:0006569
YLR044C,GO:0019655
YOR278W,GO:0006783
YAL054C,GO:0019427
YKR087C,GO:0006508
YMR105C,GO:0071704
YPR137C-B,GO:0090501
YOL128C,GO:0006468
YAL039C,GO:0018063
YPR113W,GO:0006661
YNL104C,GO:0009098
YKR010C,GO:0000183
YMR043W,GO:0000122
YMR043W,GO:0045944
YMR239C,GO:0006396
YDR079C-A,GO:0006367
YKL041W,GO:0007034
YAR009C,GO:0015074
YAR009C,GO:0006310
YBR112C,GO:0000122
YCR084C,GO:0000122
YKR036C,GO:0000266
YDL108W,GO:0006360
YDL108W,GO:0006366
YDL108W,GO:0006370
YDL108W,GO:0045944
YDL108W,GO:0070816
YDL108W,GO:1900018
YDL108W,GO:1901921
YDL108W,GO:1903654
YAR009C,GO:0008152
YDL017W,GO:0000727
YDL017W,GO:0001100
YDL017W,GO:0006270
YDL017W,GO:0006279
YDL017W,GO:0060903
YAR009C,GO:0032196
YLR439W,GO:0006412
YJL164C,GO:0007265
YJL164C,GO:0010737
YJL164C,GO:0016241
YNL079C,GO:0007015
YOR140W,GO:0000122
YPL203W,GO:0001403
YPL203W,GO:0007265
YPL203W,GO:0010737
YCR031C,GO:0000028
YCR031C,GO:0000462
YHR021W-A,GO:0071555
YDL059C,GO:0006310
YCR031C,GO:0002181
YOR202W,GO:0000105
YOR204W,GO:0000390
YOR204W,GO:0006413
YDL042C,GO:0000183
YDL042C,GO:0006325
YDL042C,GO:0007062
YDL042C,GO:0008156
YDL042C,GO:0030466
YDL042C,GO:0034398
YDL042C,GO:0045910
YDL042C,GO:1904524
YDL200C,GO:0006281
YHR214C-B,GO:0006310
YHR214C-B,GO:0008152
YHR214C-B,GO:0032196
YBL085W,GO:0007015
YOL136C,GO:0006000
YLR442C,GO:0030466
YLR442C,GO:0031507
YLR442C,GO:0034398
YLR442C,GO:0070481
YOR257W,GO:0030474
YOR257W,GO:0043161
YOR257W,GO:0043549
YHR214C-B,GO:0006508
YHR214C-B,GO:0015074
YPR160W,GO:0005980
YHR144C,GO:0006226
YHR144C,GO:0006231
YGL237C,GO:0000436
YGL237C,GO:0043457
YGR191W,GO:0006828
YGR191W,GO:0015817
YPL022W,GO:0000710
YPL022W,GO:0000735
YPL022W,GO:0000736
YER114C,GO:0007015
YOL136C,GO:0006003
YER170W,GO:0046039
YKR034W,GO:0006355
YDL170W,GO:0006355
YPL022W,GO:0006277
YPL022W,GO:0006312
YML032C,GO:0000709
YML032C,GO:0000722
YML032C,GO:0000724
YML032C,GO:0000727
YML032C,GO:0000730
YML032C,GO:0006277
YML032C,GO:0006301
YML032C,GO:0045002
YER109C,GO:0045944
YJR052W,GO:0000715
YJR052W,GO:0008104
YPR165W,GO:0007117
YPR165W,GO:0007264
YPR165W,GO:0008361
YPR165W,GO:0030036
YLL006W,GO:0000002
YDR468C,GO:0006886
YHR002W,GO:0035349
YPR165W,GO:0031532
YPR165W,GO:0032186
YPR165W,GO:0032880
YPR165W,GO:0032889
YPR165W,GO:0045807
YPR165W,GO:0060178
YPR165W,GO:0060237
YPR165W,GO:0090037
YPR165W,GO:0090334
YPR165W,GO:1903395
YNL090W,GO:0007015
YNL090W,GO:0007017
YNL090W,GO:0007264
YPL177C,GO:0000122
YNL090W,GO:0030010
YNL090W,GO:0031505
YOR178C,GO:0050790
YDR477W,GO:0001403
YDR477W,GO:0006468
YAR014C,GO:0050790
YDR477W,GO:0006986
YDR477W,GO:0006995
YDR477W,GO:0007155
YDR477W,GO:0016239
YDR477W,GO:0017148
YDR477W,GO:0045722
YDR477W,GO:0071940
YDR477W,GO:0090606
YDR477W,GO:1900436
YKL178C,GO:0000750
YKL178C,GO:0000755
YDL159W,GO:0000196
YDL159W,GO:0001402
YDL159W,GO:0001403
YAL016W,GO:0050790
YJR141W,GO:0031397
YJR141W,GO:0031442
YDL159W,GO:0007124
YDL159W,GO:0010525
YJR005W,GO:0006886
YBR278W,GO:0090305
YNCL0005C,GO:0006396
YOR074C,GO:0006231
YNL088W,GO:0000019
YNL088W,GO:0006265
YNL088W,GO:0006271
YNL088W,GO:0007131
YNL088W,GO:0031055
YNL088W,GO:0097046
YKL195W,GO:0045041
YNL298W,GO:0000122
YBR109C,GO:0000742
YBR109C,GO:0006661
YBR109C,GO:0006897
YBR109C,GO:0006898
YBR109C,GO:0007010
YBR109C,GO:0007114
YBR109C,GO:0016237
YBR109C,GO:0042144
YBR109C,GO:0051300
YBR109C,GO:1903525
YGR109W-B,GO:0006278
